# utc,dec,hex
11777983,134,0x86
11790450,137,0x89
11802917,132,0x84
11815384,135,0x87
11827851,132,0x84
11840317,127,0x7F
11852785,128,0x80
11865251,127,0x7F
11877719,124,0x7C
11890185,129,0x81
11902652,132,0x84
11915119,127,0x7F
11927586,128,0x80
11940053,125,0x7D
11952521,120,0x78
11964989,117,0x75
11977457,120,0x78
11989925,125,0x7D
12002393,120,0x78
12014860,111,0x6F
12027328,116,0x74
12039795,115,0x73
12052263,112,0x70
12064731,117,0x75
12077198,114,0x72
12089666,117,0x75
12102134,120,0x78
12114602,121,0x79
12127070,116,0x74
12139538,121,0x79
12152006,132,0x84
12164474,141,0x8D
12176943,134,0x86
12189411,139,0x8B
12201879,144,0x90
12214346,151,0x97
12226813,150,0x96
12239281,161,0xA1
12251749,166,0xA6
12264218,163,0xA3
12276687,164,0xA4
12289156,179,0xB3
12301624,182,0xB6
12314092,183,0xB7
12326561,186,0xBA
12339029,185,0xB9
12351497,178,0xB2
12363965,195,0xC3
12376433,200,0xC8
12388901,209,0xD1
12401370,214,0xD6
12413837,221,0xDD
12426305,226,0xE2
12438773,235,0xEB
12451240,232,0xE8
12463707,233,0xE9
12476175,244,0xF4
12488643,261,0x105
12501112,264,0x108
12513581,269,0x10D
12526050,278,0x116
12538519,279,0x117
12550988,280,0x118
12563456,287,0x11F
12575925,296,0x128
12588393,301,0x12D
12600862,308,0x134
12613330,315,0x13B
12625798,320,0x140
12638267,321,0x141
12650734,312,0x138
12663202,305,0x131
12675669,298,0x12A
12688137,305,0x131
12700605,308,0x134
12713073,301,0x12D
12725541,296,0x128
12738009,293,0x125
12750477,288,0x120
12762944,287,0x11F
12775411,274,0x112
12787879,267,0x10B
12800346,266,0x10A
12812814,261,0x105
12825282,260,0x104
12837750,271,0x10F
12850217,266,0x10A
12862685,253,0xFD
12875152,248,0xF8
12887619,253,0xFD
12900087,246,0xF6
12912553,235,0xEB
12925020,230,0xE6
12937487,233,0xE9
12949954,226,0xE2
12962421,217,0xD9
12974888,214,0xD6
12987354,211,0xD3
12999821,208,0xD0
13012288,211,0xD3
13024754,200,0xC8
13037220,191,0xBF
13049686,190,0xBE
13062154,193,0xC1
13074621,198,0xC6
13087088,199,0xC7
13099556,200,0xC8
13112023,199,0xC7
13124491,194,0xC2
13136959,201,0xC9
13149427,214,0xD6
13161895,217,0xD9
13174363,214,0xD6
13186831,213,0xD5
13199300,216,0xD8
13211768,213,0xD5
13224236,212,0xD4
13236704,221,0xDD
13249172,226,0xE2
13261640,233,0xE9
13274108,232,0xE8
13286576,237,0xED
13299044,234,0xEA
13311512,233,0xE9
13323981,234,0xEA
13336450,249,0xF9
13348920,252,0xFC
13361388,249,0xF9
13373857,252,0xFC
13386326,255,0xFF
13398795,252,0xFC
13411264,261,0x105
13423733,266,0x10A
13436203,273,0x111
13448672,270,0x10E
13461141,279,0x117
13473610,274,0x112
13486080,283,0x11B
13498549,282,0x11A
13511018,287,0x11F
13523486,282,0x11A
13535954,279,0x117
13548421,274,0x112
13560889,279,0x117
13573356,274,0x112
13585824,265,0x109
13598292,244,0xF4
13610761,249,0xF9
13623229,244,0xF4
13635698,241,0xF1
13648166,246,0xF6
13660635,243,0xF3
13673103,228,0xE4
13685572,227,0xE3
13698041,230,0xE6
13710509,225,0xE1
13722978,222,0xDE
13735447,221,0xDD
13747915,216,0xD8
13760384,217,0xD9
13772853,216,0xD8
13785321,215,0xD7
13797790,204,0xCC
13810260,209,0xD1
13822728,198,0xC6
13835196,199,0xC7
13847665,208,0xD0
13860133,201,0xC9
13872602,190,0xBE
13885070,197,0xC5
13897538,198,0xC6
13910005,191,0xBF
13922473,192,0xC0
13934941,181,0xB5
13947409,180,0xB4
13959876,187,0xBB
13972344,186,0xBA
13984813,183,0xB7
13997281,172,0xAC
14009748,177,0xB1
14022215,176,0xB0
14034682,179,0xB3
14047148,186,0xBA
14059615,189,0xBD
14072081,192,0xC0
14084548,197,0xC5
14097015,196,0xC4
14109482,199,0xC7
14121949,206,0xCE
14134415,213,0xD5
14146882,208,0xD0
14159349,213,0xD5
14171816,220,0xDC
14184283,221,0xDD
14196750,222,0xDE
14209218,235,0xEB
14221686,242,0xF2
14234154,239,0xEF
14246621,244,0xF4
14259089,243,0xF3
14271556,248,0xF8
14284023,261,0x105
14296491,266,0x10A
14308958,273,0x111
14321426,278,0x116
14333893,285,0x11D
14346361,284,0x11C
14358829,289,0x121
14371297,292,0x124
14383765,301,0x12D
14396233,296,0x128
14408702,311,0x137
14421169,318,0x13E
14433638,319,0x13F
14446106,324,0x144
14458574,325,0x145
14471042,314,0x13A
14483509,313,0x139
14495976,302,0x12E
14508444,303,0x12F
14520911,298,0x12A
14533378,295,0x127
14545845,282,0x11A
14558312,285,0x11D
14570780,282,0x11A
14583247,283,0x11B
14595714,278,0x116
14608182,275,0x113
14620649,270,0x10E
14633116,273,0x111
14645584,264,0x108
14658052,249,0xF9
14670519,250,0xFA
14682986,259,0x103
14695454,252,0xFC
14707921,239,0xEF
14720390,234,0xEA
14732857,235,0xEB
14745325,242,0xF2
14757792,239,0xEF
14770260,228,0xE4
14782728,225,0xE1
14795196,220,0xDC
14807664,219,0xDB
14820132,218,0xDA
14832600,201,0xC9
14845069,200,0xC8
14857537,195,0xC3
14870005,192,0xC0
14882472,197,0xC5
14894940,192,0xC0
14907407,199,0xC7
14919874,194,0xC2
14932341,205,0xCD
14944808,204,0xCC
14957275,213,0xD5
14969742,212,0xD4
14982209,215,0xD7
14994677,220,0xDC
15007144,225,0xE1
15019612,230,0xE6
15032079,239,0xEF
15044546,240,0xF0
15057013,249,0xF9
15069480,244,0xF4
15081947,251,0xFB
15094414,260,0x104
15106881,261,0x105
15119347,258,0x102
15131815,267,0x10B
15144282,268,0x10C
15156749,267,0x10B
15169216,272,0x110
15181683,275,0x113
15194150,282,0x11A
15206616,287,0x11F
15219083,290,0x122
15231550,297,0x129
15244017,296,0x128
15256484,303,0x12F
15268951,316,0x13C
15281417,319,0x13F
15293884,320,0x140
15306350,329,0x149
15318817,310,0x136
15331284,307,0x133
15343751,302,0x12E
15356217,297,0x129
15368684,294,0x126
15381151,287,0x11F
15393619,278,0x116
15406085,271,0x10F
15418552,274,0x112
15431020,275,0x113
15443487,266,0x10A
15455954,265,0x109
15468420,262,0x106
15480888,261,0x105
15493355,256,0x100
15505823,255,0xFF
15518290,252,0xFC
15530757,241,0xF1
15543225,238,0xEE
15555692,237,0xED
15568159,228,0xE4
15580626,219,0xDB
15593093,212,0xD4
15605560,209,0xD1
15618027,204,0xCC
15630495,207,0xCF
15642962,200,0xC8
15655429,195,0xC3
15667895,190,0xBE
15680362,187,0xBB
15692830,192,0xC0
15705296,183,0xB7
15717763,178,0xB2
15730230,183,0xB7
15742696,168,0xA8
15755164,161,0xA1
15767631,168,0xA8
15780098,171,0xAB
15792566,174,0xAE
15805033,171,0xAB
15817501,172,0xAC
15829969,179,0xB3
15842436,176,0xB0
15854902,179,0xB3
15867369,178,0xB2
15879836,183,0xB7
15892303,180,0xB4
15904770,181,0xB5
15917237,190,0xBE
15929705,181,0xB5
15942172,176,0xB0
15954639,191,0xBF
15967107,194,0xC2
15979574,193,0xC1
15992042,186,0xBA
16004509,195,0xC3
16016976,202,0xCA
16029443,205,0xCD
16041910,200,0xC8
16054377,205,0xCD
16066843,210,0xD2
16079310,217,0xD9
16091776,208,0xD0
16104243,209,0xD1
16116710,216,0xD8
16129176,223,0xDF
16141643,222,0xDE
16154110,221,0xDD
16166576,216,0xD8
16179043,227,0xE3
16191509,234,0xEA
16203976,239,0xEF
16216443,242,0xF2
16228909,245,0xF5
16241376,246,0xF6
16253843,257,0x101
16266310,256,0x100
16278777,249,0xF9
16291243,238,0xEE
16303709,243,0xF3
16316176,236,0xEC
16328642,223,0xDF
16341108,218,0xDA
16353574,217,0xD9
16366041,220,0xDC
16378508,217,0xD9
16390975,212,0xD4
16403442,201,0xC9
16415909,198,0xC6
16428376,195,0xC3
16440843,194,0xC2
16453310,191,0xBF
16465776,182,0xB6
16478243,183,0xB7
16490710,168,0xA8
16503177,165,0xA5
16515643,164,0xA4
16528110,161,0xA1
16540576,160,0xA0
16553043,155,0x9B
16565510,150,0x96
16577978,153,0x99
16590445,142,0x8E
16602912,139,0x8B
16615380,140,0x8C
16627847,143,0x8F
16640315,134,0x86
16652782,129,0x81
16665249,124,0x7C
16677717,119,0x77
16690184,120,0x78
16702651,127,0x7F
16715118,116,0x74
16727586,107,0x6B
16740054,102,0x66
16752522,111,0x6F
16764990,106,0x6A
16777458,95,0x5F
16789925,90,0x5A
16802393,99,0x63
16814860,106,0x6A
16827328,97,0x61
16839796,88,0x58
16852264,85,0x55
16864732,90,0x5A
16877200,93,0x5D
16889668,90,0x5A
16902135,89,0x59
16914603,90,0x5A
16927070,89,0x59
16939538,82,0x52
16952007,81,0x51
16964474,76,0x4C
16976942,77,0x4D
16989409,66,0x42
17001876,63,0x3F
17014344,62,0x3E
17026811,69,0x45
17039279,66,0x42
17051746,67,0x43
17064214,62,0x3E
17076680,59,0x3B
17089148,58,0x3A
17101615,57,0x39
17114083,54,0x36
17126550,53,0x35
17139017,52,0x34
17151485,49,0x31
17163951,58,0x3A
17176418,69,0x45
17188886,62,0x3E
17201354,63,0x3F
17213821,64,0x40
17226288,61,0x3D
17238755,60,0x3C
17251223,63,0x3F
17263689,50,0x32
17276156,65,0x41
17288623,68,0x44
17301090,59,0x3B
17313557,56,0x38
17326023,57,0x39
17338489,58,0x3A
17350956,63,0x3F
17363422,62,0x3E
17375889,59,0x3B
17388356,60,0x3C
17400822,67,0x43
17413289,62,0x3E
17425755,65,0x41
17438222,64,0x40
17450689,67,0x43
17463156,72,0x48
17475623,69,0x45
17488090,70,0x46
17500556,69,0x45
17513023,64,0x40
17525490,63,0x3F
17537957,64,0x40
17550424,67,0x43
17562891,68,0x44
17575358,63,0x3F
17587825,66,0x42
17600292,71,0x47
17612759,66,0x42
17625226,63,0x3F
17637692,66,0x42
17650158,73,0x49
17662624,80,0x50
17675090,77,0x4D
17687556,70,0x46
17700022,73,0x49
17712489,84,0x54
17724956,79,0x4F
17737423,76,0x4C
17749891,73,0x49
17762358,68,0x44
17774825,73,0x49
17787292,76,0x4C
17799759,77,0x4D
17812225,74,0x4A
17824693,85,0x55
17837160,88,0x58
17849627,87,0x57
17862094,84,0x54
17874561,85,0x55
17887027,88,0x58
17899493,81,0x51
17911960,80,0x50
17924427,91,0x5B
17936894,94,0x5E
17949361,91,0x5B
17961827,88,0x58
17974294,93,0x5D
17986761,94,0x5E
17999228,95,0x5F
18011695,94,0x5E
18024162,99,0x63
18036628,96,0x60
18049095,107,0x6B
18061561,112,0x70
18074029,109,0x6D
18086497,106,0x6A
18098964,111,0x6F
18111432,108,0x6C
18123899,111,0x6F
18136367,108,0x6C
18148834,113,0x71
18161300,116,0x74
18173767,123,0x7B
18186234,120,0x78
18198702,123,0x7B
18211169,128,0x80
18223636,127,0x7F
18236103,136,0x88
18248570,131,0x83
18261037,120,0x78
18273505,135,0x87
18285972,138,0x8A
18298440,139,0x8B
18310907,130,0x82
18323374,139,0x8B
18335841,148,0x94
18348308,155,0x9B
18360777,154,0x9A
18373245,145,0x91
18385713,144,0x90
18398181,151,0x97
18410648,152,0x98
18423116,143,0x8F
18435584,140,0x8C
18448052,133,0x85
18460521,132,0x84
18472990,131,0x83
18485458,124,0x7C
18497927,125,0x7D
18510395,120,0x78
18522863,113,0x71
18535331,116,0x74
18547798,111,0x6F
18560266,110,0x6E
18572733,113,0x71
18585201,116,0x74
18597669,111,0x6F
18610137,102,0x66
18622604,105,0x69
18635072,106,0x6A
18647540,107,0x6B
18660008,106,0x6A
18672474,107,0x6B
18684941,92,0x5C
18697408,85,0x55
18709874,84,0x54
18722341,91,0x5B
18734809,88,0x58
18747277,91,0x5B
18759745,98,0x62
18772212,91,0x5B
18784680,88,0x58
18797148,89,0x59
18809615,88,0x58
18822082,91,0x5B
18834549,86,0x56
18847016,89,0x59
18859483,94,0x5E
18871950,91,0x5B
18884417,86,0x56
18896884,89,0x59
18909351,88,0x58
18921818,81,0x51
18934284,78,0x4E
18946750,81,0x51
18959217,80,0x50
18971685,83,0x53
18984153,80,0x50
18996621,93,0x5D
19009088,94,0x5E
19021555,85,0x55
19034022,86,0x56
19046488,95,0x5F
19058955,90,0x5A
19071421,91,0x5B
19083889,92,0x5C
19096355,91,0x5B
19108822,96,0x60
19121290,99,0x63
19133757,94,0x5E
19146225,93,0x5D
19158692,98,0x62
19171159,95,0x5F
19183626,92,0x5C
19196092,107,0x6B
19208558,116,0x74
19221025,117,0x75
19233491,118,0x76
19245958,117,0x75
19258425,116,0x74
19270892,121,0x79
19283358,126,0x7E
19295825,127,0x7F
19308291,116,0x74
19320758,113,0x71
19333225,120,0x78
19345692,123,0x7B
19358160,118,0x76
19370627,125,0x7D
19383094,124,0x7C
19395560,127,0x7F
19408027,124,0x7C
19420493,125,0x7D
19432960,142,0x8E
19445427,149,0x95
19457894,144,0x90
19470360,151,0x97
19482826,156,0x9C
19495292,169,0xA9
19507759,172,0xAC
19520226,173,0xAD
19532692,182,0xB6
19545158,185,0xB9
19557624,192,0xC0
19570091,195,0xC3
19582557,200,0xC8
19595023,215,0xD7
19607489,222,0xDE
19619956,229,0xE5
19632422,230,0xE6
19644888,227,0xE3
19657355,238,0xEE
19669821,255,0xFF
19682288,262,0x106
19694755,267,0x10B
19707220,266,0x10A
19719687,275,0x113
19732154,286,0x11E
19744621,287,0x11F
19757087,288,0x120
19769553,297,0x129
19782020,300,0x12C
19794486,309,0x135
19806953,312,0x138
19819420,319,0x13F
19831886,330,0x14A
19844353,331,0x14B
19856819,342,0x156
19869285,343,0x157
19881751,336,0x150
19894218,333,0x14D
19906685,326,0x146
19919152,327,0x147
19931620,322,0x142
19944087,327,0x147
19956554,328,0x148
19969021,321,0x141
19981488,316,0x13C
19993955,311,0x137
20006421,310,0x136
20018888,311,0x137
20031355,306,0x132
20043822,301,0x12D
20056290,292,0x124
20068756,293,0x125
20081224,290,0x122
20093690,289,0x121
20106158,286,0x11E
20118625,279,0x117
20131092,270,0x10E
20143559,279,0x117
20156025,282,0x11A
20168492,269,0x10D
20180959,260,0x104
20193426,263,0x107
20205893,260,0x104
20218360,265,0x109
20230827,262,0x106
20243295,271,0x10F
20255762,274,0x112
20268229,275,0x113
20280697,278,0x116
20293164,279,0x117
20305632,282,0x11A
20318100,295,0x127
20330568,302,0x12E
20343035,305,0x131
20355502,308,0x134
20367969,311,0x137
20380435,318,0x13E
20392902,331,0x14B
20405369,340,0x154
20417836,343,0x157
20430304,342,0x156
20442771,353,0x161
20455238,354,0x162
20467705,371,0x173
20480171,380,0x17C
20492638,381,0x17D
20505105,380,0x17C
20517572,389,0x185
20530038,398,0x18E
20542505,407,0x197
20554972,408,0x198
20567439,403,0x193
20579906,400,0x190
20592373,397,0x18D
20604839,384,0x180
20617305,379,0x17B
20629772,378,0x17A
20642238,375,0x177
20654705,358,0x166
20667171,353,0x161
20679638,344,0x158
20692105,345,0x159
20704571,340,0x154
20717038,333,0x14D
20729504,336,0x150
20741970,329,0x149
20754437,314,0x13A
20766903,311,0x137
20779370,308,0x134
20791836,301,0x12D
20804302,300,0x12C
20816769,289,0x121
20829236,278,0x116
20841702,279,0x117
20854170,278,0x116
20866637,267,0x10B
20879105,260,0x104
20891573,265,0x109
20904040,264,0x108
20916507,267,0x10B
20928974,270,0x10E
20941442,285,0x11D
20953909,292,0x124
20966376,287,0x11F
20978843,288,0x120
20991310,297,0x129
21003777,300,0x12C
21016244,299,0x12B
21028711,302,0x12E
21041178,305,0x131
21053645,316,0x13C
21066113,323,0x143
21078580,330,0x14A
21091047,329,0x149
21103514,324,0x144
21115980,331,0x14B
21128446,328,0x148
21140913,339,0x153
21153379,344,0x158
21165846,345,0x159
21178313,360,0x168
21190780,365,0x16D
21203247,364,0x16C
21215714,367,0x16F
21228181,364,0x16C
21240648,359,0x167
21253115,352,0x160
21265582,353,0x161
21278048,340,0x154
21290515,331,0x14B
21302982,324,0x144
21315448,321,0x141
21327914,324,0x144
21340380,311,0x137
21352845,300,0x12C
21365311,305,0x131
21377777,294,0x126
21390243,293,0x125
21402709,288,0x120
21415175,287,0x11F
21427640,278,0x116
21440107,275,0x113
21452573,270,0x10E
21465040,265,0x109
21477508,266,0x10A
21489974,265,0x109
21502440,254,0xFE
21514906,249,0xF9
21527372,244,0xF4
21539838,243,0xF3
21552304,246,0xF6
21564770,247,0xF7
21577237,242,0xF2
21589703,233,0xE9
21602168,234,0xEA
21614634,231,0xE7
21627100,230,0xE6
21639567,235,0xEB
21652033,244,0xF4
21664498,245,0xF5
21676965,248,0xF8
21689431,245,0xF5
21701896,248,0xF8
21714362,259,0x103
21726827,260,0x104
21739294,265,0x109
21751760,268,0x10C
21764227,273,0x111
21776693,268,0x10C
21789160,269,0x10D
21801626,274,0x112
21814092,283,0x11B
21826559,282,0x11A
21839025,287,0x11F
21851492,292,0x124
21863957,303,0x12F
21876424,306,0x132
21888890,305,0x131
21901356,308,0x134
21913822,321,0x141
21926288,326,0x146
21938754,327,0x147
21951221,330,0x14A
21963687,325,0x145
21976154,324,0x144
21988621,329,0x149
22001087,332,0x14C
22013554,327,0x147
22026021,314,0x13A
22038487,311,0x137
22050953,304,0x130
22063420,299,0x12B
22075886,294,0x126
22088353,289,0x121
22100820,286,0x11E
22113287,281,0x119
22125754,274,0x112
22138221,271,0x10F
22150687,258,0x102
22163154,257,0x101
22175620,248,0xF8
22188087,243,0xF3
22200553,242,0xF2
22213020,235,0xEB
22225487,222,0xDE
22237955,227,0xE3
22250422,220,0xDC
22262889,213,0xD5
22275355,212,0xD4
22287822,205,0xCD
22300289,198,0xC6
22312755,193,0xC1
22325222,190,0xBE
22337690,179,0xB3
22350157,176,0xB0
22362623,167,0xA7
22375090,160,0xA0
22387556,155,0x9B
22400023,140,0x8C
22412491,139,0x8B
22424957,128,0x80
22437424,133,0x85
22449891,132,0x84
22462358,119,0x77
22474825,114,0x72
22487291,121,0x79
22499758,114,0x72
22512226,113,0x71
22524693,112,0x70
22537160,109,0x6D
22549625,98,0x62
22562091,111,0x6F
22574557,110,0x6E
22587023,99,0x63
22599489,94,0x5E
22611956,91,0x5B
22624422,90,0x5A
